TPAR				
20100819.090000	  0.326 	5.167 	180.0 	30.0 
20100819.091500	  0.322 	8.400 	180.0 	30.0 
20100819.093000	  0.328 	7.300 	180.0 	30.0 
20100819.094500	  0.274 	5.167 	180.0 	30.0 
20100819.100000	  0.343 	8.100 	180.0 	30.0 
20100819.101500	  0.281 	6.800 	180.0 	30.0 
20100819.103000	  0.255 	6.917 	180.0 	30.0 
20100819.104500	  0.402 	7.200 	180.0 	30.0 
20100819.110000	  0.309 	9.100 	180.0 	30.0 
20100819.111500	  0.395 	9.250 	180.0 	30.0 
20100819.113000	  0.353 	7.700 	180.0 	30.0 
20100819.114500	  0.326 	7.600 	180.0 	30.0 
20100819.120000	  0.339 	7.125 	180.0 	30.0 
20100819.121500	  0.386 	7.400 	180.0 	30.0 
20100819.123000	  0.380 	7.400 	180.0 	30.0 
20100819.124500	  0.431 	6.300 	180.0 	30.0 
20100819.130000	  0.415 	7.125 	180.0 	30.0 
20100819.131500	  0.313 	7.600 	180.0 	30.0 
20100819.133000	  0.366 	8.100 	180.0 	30.0 
20100819.134500	  0.300 	7.250 	180.0 	30.0 
20100819.140000	  0.384 	8.100 	180.0 	30.0 
20100819.141500	  0.295 	7.667 	180.0 	30.0 
20100819.143000	  0.364 	6.200 	180.0 	30.0 
20100819.144500	  0.389 	6.900 	180.0 	30.0 
20100819.150000	  0.371 	7.875 	180.0 	30.0 
20100819.151500	  0.371 	7.800 	180.0 	30.0 
20100819.153000	  0.330 	6.167 	180.0 	30.0 
20100819.154500	  0.379 	6.500 	180.0 	30.0 
20100819.160000	  0.288 	8.625 	180.0 	30.0 
20100819.161500	  0.420 	7.600 	180.0 	30.0 
20100819.163000	  0.350 	7.700 	180.0 	30.0 
20100819.164500	  0.338 	7.900 	180.0 	30.0 
20100819.170000	  0.374 	7.000 	180.0 	30.0 
20100819.171500	  0.304 	6.667 	180.0 	30.0 
20100819.173000	  0.302 	8.667 	180.0 	30.0 
20100819.174500	  0.393 	7.300 	180.0 	30.0 
20100819.180000	  0.307 	7.300 	180.0 	30.0 
20100819.181500	  0.303 	6.800 	180.0 	30.0 
20100819.183000	  0.305 	6.417 	180.0 	30.0 
20100819.184500	  0.407 	6.500 	180.0 	30.0 
