TPAR
20090825.000000   0.538   10.875  180.0   30.0
20090825.001500   0.694   10.500  180.0   30.0
20090825.003000   0.570   10.278  180.0   30.0
20090825.004500   0.555   10.375  180.0   30.0
20090825.010000   0.691   11.000  180.0   30.0
20090825.011500   0.615   10.500  180.0   30.0
20090825.013000   0.620   10.438  180.0   30.0
20090825.014500   0.572   9.938   180.0   30.0
20090825.020000   0.681   11.071  180.0   30.0
20090825.021500   0.419   9.889   180.0   30.0
20090825.023000   0.423   10.611  180.0   30.0
20090825.024500   0.502   10.389  180.0   30.0
20090825.030000   0.581   11.125  180.0   30.0
20090825.031500   0.608   11.500  180.0   30.0
20090825.033000   0.426   10.875  180.0   30.0
20090825.034500   0.421   11.313  180.0   30.0
20090825.040000   0.521   10.556  180.0   30.0
20090825.041500   0.490   10.333  180.0   30.0
20090825.043000   0.360   10.250  180.0   30.0
20090825.044500   0.562   11.000  180.0   30.0
20090825.050000   0.514   10.875  180.0   30.0
20090825.051500   0.586   10.875  180.0   30.0
20090825.053000   0.383   11.813  180.0   30.0
20090825.054500   0.502   10.438  180.0   30.0
20090825.060000   0.610   11.071  180.0   30.0
20090825.061500   0.566   10.813  180.0   30.0
20090825.063000   0.340   10.500  180.0   30.0
20090825.064500   0.475   10.944  180.0   30.0
20090825.070000   0.386   9.389   180.0   30.0
20090825.071500   0.592   11.000  180.0   30.0
20090825.073000   0.515   11.286  180.0   30.0
20090825.074500   0.536   10.875  180.0   30.0
20090825.080000   0.587   11.000  180.0   30.0
20090825.081500   0.508   10.688  180.0   30.0
20090825.083000   0.679   10.357  180.0   30.0
20090825.084500   0.594   10.625  180.0   30.0
20090825.090000   0.570   10.813  180.0   30.0
20090825.091500   0.550   11.500  180.0   30.0
20090825.093000   0.706   10.214  180.0   30.0
20090825.094500   0.682   10.357  180.0   30.0
20090825.100000   0.448   10.571  180.0   30.0
20090825.101500   0.413   10.563  180.0   30.0
20090825.103000   0.586   11.071  180.0   30.0
20090825.104500   0.670   10.688  180.0   30.0
20090825.110000   0.605   10.500  180.0   30.0
20090825.111500   0.766   10.357  180.0   30.0
20090825.113000   0.530   10.429  180.0   30.0
20090825.114500   0.614   9.938   180.0   30.0
20090825.120000   0.488   9.875   180.0   30.0
20090825.121500   0.494   11.125  180.0   30.0
20090825.123000   0.559   9.813   180.0   30.0
20090825.124500   0.525   10.438  180.0   30.0
20090825.130000   0.585   10.389  180.0   30.0
20090825.131500   0.669   9.813   180.0   30.0
20090825.133000   0.613   10.143  180.0   30.0
20090825.134500   0.551   9.438   180.0   30.0
20090825.140000   0.652   10.063  180.0   30.0
20090825.141500   0.479   9.875   180.0   30.0
20090825.143000   0.600   10.000  180.0   30.0
20090825.144500   0.522   10.500  180.0   30.0
20090825.150000   0.435   9.500   180.0   30.0
20090825.151500   0.518   10.063  180.0   30.0
20090825.153000   0.606   9.875   180.0   30.0
20090825.154500   0.556   10.063  180.0   30.0
20090825.160000   0.660   10.250  180.0   30.0
20090825.161500   0.604   10.188  180.0   30.0
20090825.163000   0.697   9.750   180.0   30.0
20090825.164500   0.512   9.938   180.0   30.0
20090825.170000   0.609   10.125  180.0   30.0
20090825.171500   0.701   10.313  180.0   30.0
20090825.173000   0.552   9.722   180.0   30.0
20090825.174500   0.614   9.813   180.0   30.0
20090825.180000   0.643   10.063  180.0   30.0
20090825.181500   0.649   10.250  180.0   30.0
20090825.183000   0.630   10.125  180.0   30.0
20090825.184500   0.513   10.313  180.0   30.0
20090825.190000   0.611   10.125  180.0   30.0
20090825.191500   0.546   9.611   180.0   30.0
20090825.193000   0.527   9.688   180.0   30.0
20090825.194500   0.663   10.125  180.0   30.0
20090825.200000   0.557   10.278  180.0   30.0
20090825.201500   0.661   10.714  180.0   30.0
20090825.203000   0.658   10.625  180.0   30.0
20090825.204500   0.724   9.938   180.0   30.0
20090825.210000   0.535   10.750  180.0   30.0
20090825.211500   0.503   9.944   180.0   30.0
20090825.213000   0.572   11.000  180.0   30.0
20090825.214500   0.476   10.563  180.0   30.0
20090825.220000   0.676   10.063  180.0   30.0
20090825.221500   0.502   9.889   180.0   30.0
20090825.223000   0.640   10.214  180.0   30.0
20090825.224500   0.840   10.286  180.0   30.0
20090825.230000   0.500   10.125  180.0   30.0
20090825.231500   0.740   10.938  180.0   30.0
20090825.233000   0.504   10.500  180.0   30.0
20090825.234500   0.532   11.071  180.0   30.0
20090826.000000   0.557   11.188  180.0   30.0
20090826.001500   0.495   10.500  180.0   30.0
20090826.003000   0.555   10.125  180.0   30.0
20090826.004500   0.699   11.000  180.0   30.0
20090826.010000   0.544   10.125  180.0   30.0
20090826.011500   0.562   10.750  180.0   30.0
20090826.013000   0.622   10.500  180.0   30.0
20090826.014500   0.594   10.125  180.0   30.0
20090826.020000   0.416   9.778   180.0   30.0
20090826.021500   0.483   9.833   180.0   30.0
20090826.023000   0.475   9.938   180.0   30.0
20090826.024500   0.422   8.889   180.0   30.0
20090826.030000   0.452   10.188  180.0   30.0
20090826.031500   0.402   10.889  180.0   30.0
20090826.033000   0.406   9.750   180.0   30.0
20090826.034500   0.415   11.500  180.0   30.0
20090826.040000   0.521   10.000  180.0   30.0
20090826.041500   0.362   10.125  180.0   30.0
20090826.043000   0.448   10.556  180.0   30.0
20090826.044500   0.390   9.833   180.0   30.0
20090826.050000   0.359   10.167  180.0   30.0
20090826.051500   0.378   10.056  180.0   30.0
20090826.053000   0.301   9.800   180.0   30.0
20090826.054500   0.524   10.875  180.0   30.0
20090826.060000   0.413   9.889   180.0   30.0
